map,method,all_med,bad_med,bnd_med,gross_pct
188,unet,0.069230,1.149991,0.096455,0.4517
189,noisy (no filter),0.525574,42.716163,0.573200,4.9622
189,unet,0.073408,1.215402,0.096018,0.5066
190,noisy (no filter),0.531568,42.383799,0.566231,4.9805
190,unet,0.071433,1.209319,0.094779,0.4395
191,noisy (no filter),0.535307,42.606401,0.567428,4.9622
191,unet,0.069890,1.109293,0.093632,0.3357
192,noisy (no filter),0.534379,41.708224,0.598131,4.9500
192,unet,0.069851,1.276118,0.091277,0.5676
193,noisy (no filter),0.529707,41.736683,0.568184,4.9805
193,unet,0.071075,1.312443,0.091893,0.4944
194,noisy (no filter),0.523834,42.493897,0.576696,4.9683
194,unet,0.067397,1.156482,0.093900,0.3784
195,noisy (no filter),0.521285,42.037601,0.561136,4.9744
195,unet,0.072078,1.058913,0.093100,0.4700
196,noisy (no filter),0.518475,42.411884,0.569018,4.9622
196,unet,0.069852,1.230059,0.091527,0.6042
197,noisy (no filter),0.519414,41.962672,0.578660,4.9622
197,unet,0.070094,1.116012,0.094520,0.4150
198,noisy (no filter),0.531910,41.533873,0.563944,4.9744
198,unet,0.072129,1.273142,0.099180,0.4211
199,noisy (no filter),0.525846,41.727274,0.568422,4.9255
199,unet,0.069624,1.177684,0.093027,0.5127
200,noisy (no filter),0.518744,42.904677,0.573094,4.9622
200,unet,0.070688,1.183454,0.092082,0.4822
201,noisy (no filter),0.524999,42.315382,0.560003,4.9805
201,unet,0.069643,1.092545,0.089639,0.4944
202,noisy (no filter),0.523802,42.759313,0.574884,4.9622
202,unet,0.070034,1.194352,0.093424,0.4333
203,noisy (no filter),0.525332,42.135130,0.572997,4.9622
203,unet,0.070785,1.183967,0.093120,0.4395
204,noisy (no filter),0.526571,42.144968,0.572488,4.9744
204,unet,0.070974,1.234388,0.097172,0.4944
205,noisy (no filter),0.518924,41.952211,0.574428,4.9622
205,unet,0.072184,1.245216,0.093486,0.5615
206,noisy (no filter),0.529219,42.193127,0.587735,4.9805
206,unet,0.070533,1.102705,0.094025,0.5005
207,noisy (no filter),0.530707,41.995336,0.569747,4.9805
207,unet,0.069306,1.069811,0.092250,0.3845
208,noisy (no filter),0.521080,41.511317,0.587692,4.9561
208,unet,0.070462,1.212908,0.092580,0.4944
209,noisy (no filter),0.532964,41.952258,0.579381,4.9622
209,unet,0.072117,1.176003,0.095744,0.4333
210,noisy (no filter),0.527793,42.210996,0.581205,4.9805
210,unet,0.070219,1.052419,0.093203,0.3967
211,noisy (no filter),0.531531,41.891846,0.588555,4.9438
211,unet,0.072167,1.048760,0.094914,0.5066
212,noisy (no filter),0.519460,41.811239,0.570650,4.9622
212,unet,0.067199,1.222510,0.090435,0.4700
213,noisy (no filter),0.527121,42.378027,0.589105,4.9866
213,unet,0.067600,1.149480,0.091563,0.4822
214,noisy (no filter),0.519669,42.204791,0.564338,4.9561
214,unet,0.070297,1.273159,0.093290,0.3296
215,noisy (no filter),0.526297,42.509309,0.593105,4.9500
215,unet,0.073240,1.246370,0.093348,0.5493
216,noisy (no filter),0.527825,42.741098,0.573864,4.9500
216,unet,0.068794,1.189239,0.091634,0.4456
217,noisy (no filter),0.523927,42.255090,0.566414,4.9866
217,unet,0.068974,1.118405,0.091998,0.4089
218,noisy (no filter),0.521890,42.337425,0.560483,4.9622
218,unet,0.069449,1.127991,0.089192,0.3540
219,noisy (no filter),0.528688,43.343293,0.592576,4.9561
219,unet,0.070859,1.060968,0.091200,0.5066
220,noisy (no filter),0.541154,42.837189,0.588113,4.9683
220,unet,0.070511,1.301673,0.094005,0.6042
221,noisy (no filter),0.531651,42.275468,0.570475,4.9561
221,unet,0.072086,1.430768,0.094248,0.5188
222,noisy (no filter),0.525199,43.134633,0.573761,4.9622
222,unet,0.069794,1.108605,0.094521,0.4639
223,noisy (no filter),0.522035,42.455259,0.553374,4.9805
223,unet,0.072560,1.166744,0.092871,0.4517
224,noisy (no filter),0.522610,43.059500,0.580877,4.9744
224,unet,0.070406,1.309247,0.091465,0.6470
225,noisy (no filter),0.525049,42.192806,0.564613,4.9438
225,unet,0.070135,1.081282,0.095095,0.4639
226,noisy (no filter),0.528901,42.335878,0.572974,4.9805
226,unet,0.070020,1.163093,0.092858,0.5066
227,noisy (no filter),0.521844,41.931745,0.557103,4.9744
227,unet,0.070062,1.430739,0.092510,0.6531
228,noisy (no filter),0.525170,42.564675,0.580801,4.9438
228,unet,0.069372,1.140104,0.092256,0.5188
229,noisy (no filter),0.530021,41.698516,0.570941,4.9744
229,unet,0.073781,1.213072,0.095878,0.4578
230,noisy (no filter),0.517021,41.795210,0.572632,4.9500
230,unet,0.070001,1.120050,0.091774,0.4639
231,noisy (no filter),0.532479,42.890928,0.582132,4.9683
231,unet,0.070912,1.234281,0.091987,0.5066
232,noisy (no filter),0.524836,42.463857,0.557484,4.9805
232,unet,0.071283,1.186601,0.094194,0.4089
233,noisy (no filter),0.530965,41.959720,0.567020,4.9805
233,unet,0.071633,1.078173,0.095211,0.4272
234,noisy (no filter),0.526914,43.179517,0.561061,4.9622
234,unet,0.069803,1.238036,0.092560,0.5493
235,noisy (no filter),0.534433,42.726004,0.594476,4.9561
235,unet,0.070375,1.468057,0.093168,0.5798
236,noisy (no filter),0.525169,42.308478,0.563265,4.9744
236,unet,0.070676,1.022546,0.092788,0.5310
237,noisy (no filter),0.523626,41.949066,0.540860,4.9683
237,unet,0.071136,1.002942,0.089964,0.4089
238,noisy (no filter),0.528879,42.358258,0.567261,4.9622
238,unet,0.073507,1.133284,0.094145,0.4761
239,noisy (no filter),0.527959,42.415876,0.567271,4.9744
239,unet,0.072439,1.271364,0.093531,0.5249
240,noisy (no filter),0.526413,42.041159,0.569635,4.9622
240,unet,0.070251,1.097007,0.090752,0.4211
241,noisy (no filter),0.530969,42.800368,0.583786,4.9683
241,unet,0.071577,1.363900,0.093738,0.5920
242,noisy (no filter),0.523825,42.575388,0.565589,4.9500
242,unet,0.068855,1.321205,0.090243,0.4944
243,noisy (no filter),0.520888,41.951262,0.565212,4.9805
243,unet,0.070831,1.154139,0.094663,0.4883
244,noisy (no filter),0.529370,42.940451,0.583898,4.9744
244,unet,0.074926,1.167804,0.095996,0.4395
